,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
99,Ge-H,1,2.35348848688352,2.35348848688352,,2.35348848688352,2.35348848688352,0.0,2.35348848688352,2.35348848688352,0.0
100,Ge-I,1,3.3475638538983996,3.3475638538983996,,3.3475638538983996,3.3475638538983996,0.0,3.3475638538983996,3.3475638538983996,0.0
101,Ge-O,2,6.065128806840413,6.065128806840413,1.3540430152857885,5.107675808713552,7.022581804967274,1.9149059962537223,5.586402307776982,6.543855305903843,0.9574529981268611
102,Ge-S,2,2.6481301258827346,2.6481301258827346,0.5404403826179583,2.265981066506524,3.0302791852589452,0.7642981187524214,2.457055596194629,2.83920465557084,0.3821490593762107
103,Ge-Se,1,1.8614327914429276,1.8614327914429276,,1.8614327914429276,1.8614327914429276,0.0,1.8614327914429276,1.8614327914429276,0.0
104,Ge-Te,1,1.2859977313054745,1.2859977313054745,,1.2859977313054745,1.2859977313054745,0.0,1.2859977313054745,1.2859977313054745,0.0
105,H-Si,1,3.8333651720593527,3.8333651720593527,,3.8333651720593527,3.8333651720593527,0.0,3.8333651720593527,3.8333651720593527,0.0
106,H-Sn,1,1.0427597920880034,1.0427597920880034,,1.0427597920880034,1.0427597920880034,0.0,1.0427597920880034,1.0427597920880034,0.0
107,Hf-I,3,1.6052424971883192,1.61179456060003,0.1812173315224972,1.4208379914842508,1.783094939480677,0.36225694799642616,1.5163162760421405,1.6974447500403533,0.18112847399821286
108,Hf-O,2,6.319362654969105,6.319362654969105,2.289963272259437,4.700114096486321,7.938611213451889,3.2384971169655676,5.509738375727713,7.128986934210497,1.6192485584827834
109,Hf-S,4,2.5288473678363133,2.500973254294907,0.41059324295800775,2.1754549854047704,2.9379879773506685,0.7625329919458981,2.1754549854047704,2.85436563672645,0.6789106513216794
110,Hf-Se,5,1.79837716722621,2.1152631792209284,0.6142091170926559,0.7381401600978664,2.1754549854047704,1.437314825306904,1.7875725260027142,2.1754549854047704,0.38788245940205623
111,Hf-Te,2,0.7733684877330548,0.7733684877330548,0.04982037872140627,0.7381401600978664,0.8085968153682431,0.0704566552703767,0.7557543239154606,0.790982651550649,0.03522832763518835
112,Hg-I,2,2.3316750133260227,2.3316750133260227,0.3714210169702822,2.0690406935511327,2.594309333100913,0.5252686395497803,2.200357853438578,2.462992173213468,0.26263431977488993
113,I-Mg,2,5.332530834871051,5.332530834871051,0.5818831181590373,4.921077336162822,5.743984333579279,0.8229069974164567,5.126804085516937,5.538257584225165,0.41145349870822834
114,I-Os,1,2.234861972170756,2.234861972170756,,2.234861972170756,2.234861972170756,0.0,2.234861972170756,2.234861972170756,0.0
115,I-Pb,2,3.2809394467420825,3.2809394467420825,0.08038660513751096,3.224097533132783,3.3377813603513817,0.11368382721859893,3.2525184899374326,3.309360403546732,0.056841913609299244
116,I-Ru,1,1.9877434408213337,1.9877434408213337,,1.9877434408213337,1.9877434408213337,0.0,1.9877434408213337,1.9877434408213337,0.0
117,I-S,6,1.8824773182606824,1.9255248351982797,0.4561655299367836,1.094800795180379,2.355958357641004,1.261157562460625,1.7519617012998066,2.2055920310589476,0.4536303297591411
118,I-Sb,6,1.914161594239063,1.8883808490315444,0.20734485399343172,1.6763317600369703,2.2601299379992303,0.5837981779622601,1.7859081447822525,1.9870919067348367,0.20118376195258425
119,I-Se,6,1.7916655371082417,1.869742916578808,0.27611664859847557,1.3002271488650992,2.0296108495293725,0.7293837006642734,1.708281594877589,1.9870919067348367,0.2788103118572478
